account_id,product_type,loan_amount,bureau_score,monthly_income,debt_to_income,ltv_ratio,collateral_val
HL-201,home_loan,4500000,765,115000,0.42,0.65,6923000
HL-202,home_loan,6500000,790,160000,0.35,0.72,9027000
HL-203,home_loan,3200000,710,85000,0.48,0.78,4102000
HL-204,home_loan,5000000,640,110000,0.55,0.82,6097000
HL-205,home_loan,8500000,810,210000,0.28,0.60,14166000
HL-206,home_loan,4200000,735,95000,0.40,0.70,6000000
HL-207,home_loan,2800000,690,75000,0.52,0.75,3733000
HL-208,home_loan,5500000,755,130000,0.38,0.68,8088000
HL-209,home_loan,7200000,780,180000,0.44,0.74,9729000
HL-210,home_loan,3900000,620,90000,0.58,0.85,4588000
GL-301,gold_loan,600000,680,48000,0.25,0.79,759493
GL-302,gold_loan,150000,620,35000,0.18,0.70,214285
GL-303,gold_loan,350000,715,60000,0.12,0.65,538461
GL-304,gold_loan,800000,590,55000,0.40,0.78,1025641
GL-305,gold_loan,200000,740,42000,0.15,0.72,277777
GL-306,gold_loan,450000,660,50000,0.22,0.68,661764
GL-307,gold_loan,90000,630,25000,0.30,0.74,121621
GL-308,gold_loan,1200000,770,120000,0.10,0.62,1935483
GL-309,gold_loan,500000,705,70000,0.17,0.73,684931
GL-310,gold_loan,270000,600,38000,0.35,0.82,329268
BL-401,bike_loan,125000,710,28000,0.30,0.85,147000
BL-402,bike_loan,85000,745,32000,0.22,0.75,113300
BL-403,bike_loan,180000,660,45000,0.42,0.90,200000
BL-404,bike_loan,110000,620,25000,0.48,0.80,137500
BL-405,bike_loan,140000,780,50000,0.15,0.70,200000
BL-406,bike_loan,95000,695,30000,0.35,0.85,111700
BL-407,bike_loan,210000,730,60000,0.28,0.78,269200
BL-408,bike_loan,75000,580,22000,0.55,0.85,88200
BL-409,bike_loan,160000,715,40000,0.32,0.80,200000
BL-410,bike_loan,130000,675,35000,0.38,0.85,152900
CC-501,credit_card,250000,740,85000,0.15,0.00,0
CC-502,credit_card,100000,690,45000,0.28,0.00,0
CC-503,credit_card,500000,795,150000,0.10,0.00,0
CC-504,credit_card,150000,630,38000,0.45,0.00,0
CC-505,credit_card,300000,720,90000,0.22,0.00,0
CC-506,credit_card,75000,595,28000,0.52,0.00,0
CC-507,credit_card,400000,760,120000,0.18,0.00,0
CC-508,credit_card,200000,675,55000,0.35,0.00,0
CC-509,credit_card,600000,810,180000,0.08,0.00,0
CC-510,credit_card,120000,615,32000,0.49,0.00,0
PL-601,personal_loan,400000,610,55000,0.55,0.00,0
PL-602,personal_loan,200000,730,45000,0.25,0.00,0
PL-603,personal_loan,750000,785,130000,0.18,0.00,0
PL-604,personal_loan,150000,580,30000,0.62,0.00,0
PL-605,personal_loan,500000,695,75000,0.38,0.00,0
PL-606,personal_loan,300000,660,50000,0.44,0.00,0
PL-607,personal_loan,100000,715,35000,0.29,0.00,0
PL-608,personal_loan,900000,815,200000,0.12,0.00,0
PL-609,personal_loan,250000,645,42000,0.50,0.00,0
PL-610,personal_loan,600000,700,80000,0.33,0.00,0
